# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phi)
0.0119048    	0.000000e+00
0.0136413    	2.597347e-22
0.0153687    	2.192029e-23
0.0170962    	2.300596e-24
0.0188297    	1.516067e-23
0.0205632    	6.274940e-24
0.0222967    	3.780474e-25
0.0240302    	2.112784e-24
0.0257607    	3.486437e-24
0.027488     	-1.273083e-23
0.0292154    	-1.339968e-23
0.0309397    	7.105352e-24
0.032664     	3.748162e-24
0.0343883    	-3.185938e-24
0.0361126    	-5.945361e-25
0.0378339    	5.021245e-24
0.0395551    	-1.463722e-23
0.0412763    	5.816114e-25
0.0429975    	-9.661211e-24
0.0447188    	-6.992261e-24
0.04644      	2.481542e-24
0.0481612    	-7.677270e-24
0.0498794    	-1.172270e-23
0.0515975    	-1.589738e-24
0.0533156    	4.006656e-24
0.0550306    	1.389405e-24
0.0567456    	1.273083e-24
0.0584575    	-1.828845e-24
0.0601694    	3.748162e-24
0.0618782    	-1.525114e-24
0.063587     	-5.169879e-24
0.0652926    	0.000000e+00
0.0669983    	-6.035834e-24
0.0687009    	-3.838635e-24
0.0704034    	-4.652891e-25
0.072106     	-3.664152e-24
0.0738054    	-3.011454e-24
0.0755049    	-8.058549e-24
0.0772043    	-5.144029e-24
0.0789006    	-3.004992e-24
0.0805969    	2.643101e-24
0.0822932    	-1.408146e-23
0.0839896    	1.550964e-24
0.0856827    	-9.053750e-24
0.0873759    	2.597864e-24
0.0890691    	8.523838e-24
0.0907591    	-2.093801e-24
0.0924492    	2.992067e-24
0.0941361    	-4.904923e-24
0.095823     	-2.087339e-24
0.0975067    	-9.034363e-24
0.0991905    	-2.888670e-24
0.100871     	-4.478408e-24
0.102549     	8.394591e-24
0.104226     	-4.523644e-25
0.1059       	-2.520316e-25
0.107572     	3.929108e-24
0.109243     	9.570738e-24
0.110911     	3.037304e-25
0.112576     	6.494660e-24
0.114241     	-4.833837e-24
0.115903     	-2.106726e-24
0.117561     	-4.769213e-24
0.11922      	3.961420e-24
0.120876     	7.367077e-25
0.122528     	2.843433e-24
0.124181     	-4.394397e-25
0.12583      	-2.391069e-24
0.127479     	-4.252225e-24
0.129126     	4.736901e-24
0.130769     	-3.554292e-24
0.132412     	-5.079406e-24
0.134052     	-3.444432e-24
0.135689     	-6.656219e-24
0.137326     	7.302454e-25
0.13896      	4.963084e-24
0.140591     	4.736901e-24
0.142218     	-5.169879e-25
0.143846     	-1.395867e-24
0.145471     	-4.265150e-25
0.147092     	8.026237e-24
0.14871      	1.447566e-24
0.150329     	6.242629e-24
0.151944     	-1.740957e-23
0.153556     	-1.424948e-23
0.155169     	-8.265344e-24
0.156778     	-1.479878e-24
0.158387     	4.879073e-24
0.159993     	-2.701262e-24
0.161596     	4.006656e-25
0.163199     	-1.068226e-23
0.164799     	-1.625927e-23
0.166399     	2.584939e-26
0.167996     	2.145500e-24
0.169593     	-9.241158e-25
0.171187     	6.190930e-24
0.172781     	5.770877e-24
0.174372     	-8.013312e-24
0.175963     	-1.441104e-24
0.177553     	-2.804659e-24
0.179141     	-4.336236e-24
0.180726     	4.362085e-24
0.182311     	4.090667e-24
0.183892     	-8.627235e-24
0.185474     	-1.286007e-24
0.187052     	1.680211e-24
0.188631     	2.080876e-24
0.190206     	5.034170e-24
0.191782     	-1.134142e-23
0.193354     	4.937234e-24
0.194927     	-1.052070e-23
0.196496     	2.830509e-24
0.198065     	3.101927e-25
0.199635     	8.588461e-24
0.201201     	-9.098987e-24
0.202767     	-4.097129e-24
0.20433      	2.998530e-24
0.205894     	-1.048839e-23
0.207457     	-3.353959e-24
0.209017     	-7.903452e-24
0.210577     	1.010065e-23
0.212137     	1.883775e-23
0.213694     	-3.974344e-24
0.215251     	2.002036e-23
0.216808     	4.497795e-24
0.218362     	1.373249e-23
0.219916     	3.651227e-24
0.22147      	7.289529e-24
0.223024     	1.414608e-23
0.224575     	2.946831e-24
0.226126     	-4.407322e-24
0.227677     	-6.746692e-24
0.229224     	2.830509e-24
0.230772     	9.176535e-25
0.23232      	7.625571e-24
0.233868     	-5.363749e-24
0.235412     	1.544501e-23
0.236957     	1.912855e-24
0.238501     	-1.912855e-24
0.240046     	4.588267e-24
0.241591     	-5.984135e-24
0.243135     	-2.765885e-24
0.244677     	1.297640e-23
0.246218     	1.706060e-24
0.24776      	2.946831e-24
0.249301     	1.874081e-24
0.250843     	9.603050e-24
0.252384     	-1.809458e-23
0.253926     	2.882207e-24
0.255467     	2.727111e-24
0.257009     	-1.669871e-23
0.25855      	-2.584939e-25
0.260092     	-2.210123e-24
0.261636     	9.564276e-24
0.263181     	-1.499265e-24
0.264726     	5.053557e-24
0.26627      	5.738565e-24
0.267815     	-2.597864e-24
0.26936      	-4.161752e-24
0.270901     	5.790264e-24
0.272443     	-7.754818e-26
0.273984     	-5.635168e-24
0.275522     	9.822770e-25
