# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phiSub)
0.0119048    	3.671620e-08
0.0136322    	-1.593149e-09
0.0154387    	-2.682982e-10
0.0172354    	-1.425123e-09
0.0190255    	-1.736205e-09
0.0208123    	-1.497291e-09
0.0225927    	-1.329385e-09
0.0243698    	-1.201281e-09
0.0261436    	-1.110732e-09
0.0279143    	-1.039552e-09
0.0296817    	-9.885575e-10
0.0314459    	-9.454360e-10
0.0332101    	-9.327783e-10
0.0349711    	-9.133359e-10
0.0367289    	-8.970482e-10
0.0384867    	-8.835467e-10
0.0402413    	-8.717501e-10
0.0419959    	-8.623594e-10
0.0437473    	-8.537334e-10
0.0454987    	-8.473805e-10
0.0472468    	-8.422046e-10
0.048995     	-8.373293e-10
0.05074      	-8.325600e-10
0.0524849    	-8.284208e-10
0.0542267    	-8.246613e-10
0.0559684    	-8.210189e-10
0.057707     	-8.178939e-10
0.0594423    	-8.150283e-10
0.0611777    	-8.122848e-10
0.0629098    	-8.096758e-10
0.064642     	-8.072913e-10
0.0663709    	-8.048893e-10
0.0680967    	-8.025827e-10
0.0698224    	-8.003489e-10
0.071545     	-7.982907e-10
0.0732675    	-7.963748e-10
0.0749869    	-7.945450e-10
0.0767062    	-7.926995e-10
0.0784224    	-7.910596e-10
0.0801385    	-7.894522e-10
0.0818547    	-7.878367e-10
0.0835677    	-7.862706e-10
0.0852806    	-7.849707e-10
0.0869904    	-7.835106e-10
0.0887001    	-7.818645e-10
0.0904099    	-7.802146e-10
0.0921164    	-7.788722e-10
0.093823     	-7.775078e-10
0.0955295    	-7.760539e-10
0.0972329    	-7.746736e-10
0.0989362    	-7.732715e-10
0.100636     	-7.719726e-10
0.102336     	-7.705853e-10
0.104033     	-7.690144e-10
0.10573      	-7.676303e-10
0.107424     	-7.664135e-10
0.109118     	-7.650086e-10
0.110808     	-7.636371e-10
0.112499     	-7.623812e-10
0.114186     	-7.610992e-10
0.115873     	-7.596075e-10
0.117557     	-7.582227e-10
0.119238     	-7.577450e-10
0.120919     	-7.567926e-10
0.122596     	-7.557617e-10
0.124274     	-7.550056e-10
0.125949     	-7.539626e-10
0.127623     	-7.529755e-10
0.129297     	-7.519787e-10
0.130969     	-7.510248e-10
0.13264      	-7.500434e-10
0.134308     	-7.492341e-10
0.135976     	-7.480510e-10
0.137641     	-7.469274e-10
0.139305     	-7.458084e-10
0.140967     	-7.452565e-10
0.142625     	-7.439662e-10
0.144284     	-7.434079e-10
0.145939     	-7.430970e-10
0.147594     	-7.418259e-10
0.149246     	-7.406512e-10
0.150898     	-7.411040e-10
0.152547     	-7.398959e-10
0.154195     	-7.396601e-10
0.155841     	-7.384389e-10
0.157486     	-7.382873e-10
0.159129     	-7.371642e-10
0.160771     	-7.366050e-10
0.16241      	-7.358312e-10
0.164049     	-7.347489e-10
0.165685     	-7.352117e-10
0.167321     	-7.343565e-10
0.168954     	-7.340732e-10
0.170587     	-7.327468e-10
0.172219     	-7.324974e-10
0.173849     	-7.317613e-10
0.175478     	-7.303362e-10
0.177105     	-7.298493e-10
0.178731     	-7.294457e-10
