# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phi)
10.0024      	8.304118e-25
10.0048      	7.447857e-25
10.0073      	-8.853417e-25
10.0097      	-3.085771e-25
10.0121      	1.098599e-25
10.0145      	-5.492996e-26
10.0169      	-6.268478e-25
10.0194      	-2.003328e-25
10.0218      	-1.182610e-24
10.0242      	1.439488e-24
10.0266      	9.790458e-25
10.0291      	9.160379e-25
10.0315      	1.292470e-25
10.0339      	-9.855082e-26
10.0363      	-7.932533e-25
10.0387      	-1.132527e-24
10.0412      	3.037304e-25
10.0436      	-3.845097e-25
10.046       	-3.554292e-26
10.0484      	-7.205519e-25
10.0508      	-1.130911e-24
10.0533      	4.782138e-25
10.0557      	8.304118e-25
10.0581      	-2.471848e-25
10.0605      	-9.241158e-25
10.063       	-4.006656e-25
10.0654      	2.940369e-25
10.0678      	1.424948e-24
10.0702      	1.441104e-24
10.0726      	-1.273083e-24
10.0751      	-2.681875e-25
10.0775      	-4.846761e-27
10.0799      	1.195534e-25
10.0823      	-1.586507e-24
10.0847      	9.580432e-25
10.0872      	-1.046900e-24
10.0896      	-8.724171e-26
10.092       	2.488004e-25
10.0944      	-6.963181e-25
10.0969      	-5.428373e-25
10.0993      	-2.093801e-24
10.1017      	2.189121e-24
10.1041      	3.085771e-25
10.1065      	5.412217e-25
10.109       	-2.164887e-25
10.1114      	-7.124739e-25
10.1138      	9.758146e-25
10.1162      	-1.340937e-25
10.1186      	-8.433365e-25
10.1211      	-4.798294e-25
10.1235      	5.331438e-25
10.1259      	5.072944e-25
10.1283      	-4.636735e-25
10.1308      	4.862917e-25
10.1332      	-1.599431e-25
10.1356      	1.197150e-24
10.138       	3.651227e-25
10.1404      	2.617251e-25
10.1429      	2.859589e-25
10.1453      	7.431701e-25
10.1477      	3.489668e-25
10.1501      	6.139231e-26
10.1525      	-9.968173e-25
10.155       	1.050132e-25
10.1574      	3.505824e-25
10.1598      	2.956524e-25
10.1622      	-1.082443e-25
10.1646      	1.906393e-25
10.1671      	-1.486340e-25
10.1695      	4.378241e-25
10.1719      	9.564276e-25
10.1743      	-6.575440e-25
10.1768      	-3.990500e-25
10.1792      	1.822382e-24
10.1816      	-2.261822e-26
10.184       	-1.222999e-24
10.1864      	1.337706e-24
10.1889      	-8.514144e-25
10.1913      	-3.118083e-25
10.1937      	-1.599431e-24
10.1961      	-2.601095e-25
10.1985      	-3.635071e-25
10.201       	2.374913e-25
10.2034      	-4.846761e-25
10.2058      	-1.328013e-24
10.2082      	1.244002e-25
10.2107      	-4.022812e-25
10.2131      	-3.134239e-25
10.2155      	8.239494e-25
10.2179      	2.245666e-25
10.2203      	1.163223e-25
10.2228      	-9.952017e-25
10.2252      	-8.110247e-25
10.2276      	-8.675703e-25
10.23        	7.431701e-25
10.2324      	9.693523e-26
10.2349      	-6.850089e-25
10.2373      	2.762654e-25
10.2397      	-1.027513e-24
10.2421      	-6.300790e-25
10.2446      	7.076272e-25
10.247       	8.449521e-25
10.2494      	4.749826e-25
10.2518      	8.077936e-25
10.2542      	5.299126e-25
10.2567      	-1.512190e-24
10.2591      	4.297462e-25
10.2615      	-8.918041e-25
10.2639      	-2.536472e-25
10.2663      	-2.681875e-25
10.2688      	-3.861253e-25
10.2712      	-6.817778e-25
10.2736      	2.116419e-25
10.276       	5.816114e-26
10.2785      	4.200527e-26
10.2809      	1.486340e-25
10.2833      	1.151914e-24
10.2857      	-6.462349e-26
10.2881      	-1.541270e-24
10.2906      	1.531577e-24
10.293       	9.515808e-25
10.2954      	4.152059e-25
10.2978      	8.578768e-25
10.3002      	-1.408792e-24
10.3027      	-2.229510e-25
10.3051      	-5.977672e-25
10.3075      	-9.354250e-25
10.3099      	1.130911e-26
10.3123      	-5.848425e-25
10.3148      	-7.060116e-25
10.3172      	-3.812786e-25
10.3196      	1.599431e-25
10.322       	-3.004992e-25
10.3245      	-6.268478e-25
10.3269      	-4.959853e-25
10.3293      	-2.374913e-25
10.3317      	8.304118e-25
10.3341      	-1.412023e-24
10.3366      	4.038968e-26
10.339       	3.699695e-25
10.3414      	2.827277e-25
10.3438      	6.801622e-25
10.3462      	-6.042296e-25
10.3487      	1.622049e-24
10.3511      	5.880737e-25
10.3535      	5.541464e-25
10.3559      	1.339322e-24
10.3584      	-1.470184e-25
10.3608      	-1.568735e-24
10.3632      	4.507488e-25
10.3656      	-2.762654e-25
10.368       	8.837262e-25
10.3705      	2.568784e-25
10.3729      	2.151962e-24
10.3753      	-1.163223e-24
10.3777      	-5.945361e-25
10.3801      	1.189072e-24
10.3826      	5.444529e-25
10.385       	3.441201e-25
10.3874      	3.166551e-25
10.3898      	-1.431410e-24
10.3923      	-6.769310e-25
10.3947      	1.793302e-25
10.3971      	4.410553e-25
10.3995      	3.441201e-25
10.4019      	8.417209e-25
10.4044      	3.392733e-26
10.4068      	-5.654555e-26
10.4092      	1.906393e-25
10.4116      	-2.601095e-25
10.414       	2.746498e-26
10.4165      	1.728678e-25
10.4189      	-3.085771e-25
10.4213      	-1.802995e-24
10.4237      	1.938705e-26
10.4262      	-7.997156e-25
10.4286      	1.114755e-24
10.431       	-1.311857e-24
10.4334      	2.681875e-25
10.4358      	1.583275e-25
10.4383      	1.195534e-25
10.4407      	-5.880737e-25
10.4431      	-1.111524e-24
10.4455      	-2.568784e-25
10.4479      	3.392733e-25
10.4504      	-7.803286e-25
10.4528      	7.964845e-25
10.4552      	-2.013022e-24
10.4576      	-3.489668e-25
10.46        	-3.118083e-25
10.4625      	-5.121411e-25
10.4649      	9.370405e-26
10.4673      	5.444529e-25
10.4697      	-3.554292e-26
10.4722      	-6.607751e-25
10.4746      	1.883775e-24
10.477       	3.263486e-25
10.4794      	1.053363e-24
10.4818      	1.647899e-24
10.4843      	-5.282970e-25
10.4867      	6.284634e-25
10.4891      	5.977672e-26
10.4915      	-5.396061e-25
10.4939      	3.231174e-25
10.4964      	-3.247330e-25
10.4988      	-8.401053e-25
10.5012      	-1.307010e-24
10.5036      	-4.895229e-25
10.5061      	1.098599e-25
10.5085      	3.651227e-25
10.5109      	1.172916e-24
10.5133      	-1.777146e-24
10.5157      	2.197199e-25
10.5182      	-5.186035e-25
10.5206      	1.187457e-24
10.523       	1.024282e-24
10.5254      	2.617251e-25
10.5278      	1.114755e-25
10.5303      	-9.047288e-26
10.5327      	-2.891901e-25
10.5351      	2.988836e-25
10.5375      	1.562273e-24
10.54        	-8.061780e-25
10.5424      	1.117986e-24
10.5448      	2.536472e-25
10.5472      	1.874081e-25
10.5496      	-3.780474e-25
10.5521      	-6.688531e-25
10.5545      	1.048516e-24
10.5569      	4.652891e-25
10.5593      	2.488004e-25
10.5617      	3.538136e-25
10.5642      	3.344265e-25
10.5666      	-4.442865e-25
10.569       	7.140895e-25
10.5714      	-1.244002e-24
10.5738      	-1.638205e-24
10.5763      	-2.342601e-25
10.5787      	-3.489668e-25
10.5811      	6.494660e-25
10.5835      	4.248994e-25
10.586       	2.843433e-25
10.5884      	-5.008320e-26
10.5908      	-3.263486e-25
