# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phiSub)
0.0119048    	2.243335e-08
0.0139894    	7.793656e-09
0.0160608    	6.711855e-10
0.0181323    	-1.418938e-09
0.0202081    	-1.841745e-09
0.0222839    	-1.572512e-09
0.0243597    	-1.489437e-09
0.0264356    	-1.371080e-09
0.0285114    	-1.303639e-09
0.0305828    	-1.241528e-09
0.0326542    	-1.195715e-09
0.0347212    	-1.157596e-09
0.0367882    	-1.126974e-09
0.0388551    	-1.101965e-09
0.0409221    	-1.080996e-09
0.0429891    	-1.062978e-09
0.0450561    	-1.047715e-09
0.0471186    	-1.033919e-09
0.0491811    	-1.026386e-09
0.0512436    	-1.017370e-09
0.0533061    	-1.008770e-09
0.0553687    	-1.001109e-09
0.0574312    	-9.939939e-10
0.0594937    	-9.889876e-10
0.0615517    	-9.841186e-10
0.0636097    	-9.798129e-10
0.0656677    	-9.758777e-10
0.0677212    	-9.723390e-10
0.0697746    	-9.688622e-10
0.0718281    	-9.657710e-10
0.0738771    	-9.630763e-10
0.075926     	-9.610164e-10
0.0779704    	-9.589936e-10
0.0800148    	-9.571745e-10
0.0820592    	-9.556078e-10
0.0840991    	-9.542889e-10
0.086139     	-9.533862e-10
0.0881788    	-9.524904e-10
0.0902187    	-9.516561e-10
0.092254     	-9.511745e-10
0.0942893    	-9.507174e-10
0.0963246    	-9.505050e-10
0.0983599    	-9.504094e-10
0.100395     	-9.504774e-10
0.102426     	-9.503875e-10
0.104457     	-9.506265e-10
0.106487     	-9.510543e-10
0.108518     	-9.516442e-10
0.110544     	-9.521276e-10
0.11257      	-9.527340e-10
0.114596     	-9.534738e-10
0.116618     	-9.543734e-10
0.118639     	-9.551174e-10
0.120656     	-9.560277e-10
0.122673     	-9.569471e-10
0.124685     	-9.580631e-10
0.126697     	-9.590923e-10
0.128705     	-9.603566e-10
0.130713     	-9.615493e-10
0.132716     	-9.625581e-10
0.134719     	-9.638829e-10
0.136717     	-9.652166e-10
0.138715     	-9.662929e-10
0.140709     	-9.674948e-10
0.142703     	-9.688779e-10
0.144692     	-9.701133e-10
0.146681     	-9.713563e-10
0.148665     	-9.725175e-10
0.15065      	-9.741738e-10
0.15263      	-9.758765e-10
0.154609     	-9.773590e-10
0.156585     	-9.787895e-10
0.15856      	-9.802524e-10
0.160535     	-9.814614e-10
0.162506     	-9.827154e-10
0.164476     	-9.840013e-10
0.166442     	-9.853028e-10
0.168408     	-9.865297e-10
0.170369     	-9.878451e-10
0.172331     	-9.889719e-10
0.174287     	-9.901589e-10
0.176244     	-9.913243e-10
0.178196     	-9.926340e-10
0.180148     	-9.938462e-10
0.182095     	-9.951304e-10
0.184043     	-9.958798e-10
0.185986     	-9.970936e-10
0.187928     	-9.985366e-10
0.189866     	-9.996732e-10
0.191805     	-1.000885e-09
0.193743     	-1.002137e-09
0.195676     	-1.003065e-09
0.19761      	-1.004432e-09
0.199543     	-1.005517e-09
0.201472     	-1.006981e-09
0.203401     	-1.008250e-09
0.20533      	-1.009355e-09
0.207254     	-1.010618e-09
0.209178     	-1.011793e-09
0.211102     	-1.012862e-09
0.213021     	-1.014018e-09
0.214941     	-1.015368e-09
0.21686      	-1.017064e-09
0.21878      	-1.018605e-09
0.220695     	-1.019812e-09
0.222609     	-1.021193e-09
0.224524     	-1.022506e-09
0.226434     	-1.023717e-09
0.228344     	-1.025376e-09
0.230254     	-1.026733e-09
0.23216      	-1.027918e-09
0.234065     	-1.029209e-09
0.23597      	-1.030842e-09
0.237875     	-1.032290e-09
0.239776     	-1.033381e-09
0.241677     	-1.034530e-09
0.243577     	-1.035964e-09
0.245478     	-1.037391e-09
0.247373     	-1.038757e-09
0.249269     	-1.040216e-09
0.251165     	-1.041807e-09
0.253061     	-1.043019e-09
0.254957     	-1.044551e-09
0.256848     	-1.045999e-09
0.258739     	-1.047560e-09
0.26063      	-1.049100e-09
0.262521     	-1.050459e-09
0.264412     	-1.051951e-09
0.266298     	-1.053352e-09
0.268184     	-1.054883e-09
0.27007      	-1.056378e-09
0.271956     	-1.058018e-09
0.273842     	-1.059608e-09
0.275728     	-1.060936e-09
0.277614     	-1.062278e-09
0.279496     	-1.064293e-09
0.281377     	-1.065883e-09
0.283258     	-1.067733e-09
0.285139     	-1.069481e-09
0.28702      	-1.071271e-09
0.288902     	-1.073521e-09
0.290783     	-1.075438e-09
0.292664     	-1.077894e-09
0.294545     	-1.079222e-09
0.296426     	-1.081214e-09
0.298308     	-1.082487e-09
0.300189     	-1.084336e-09
0.30207      	-1.086232e-09
0.303951     	-1.088351e-09
0.305833     	-1.090391e-09
0.307714     	-1.092450e-09
0.3096       	-1.093846e-09
0.311486     	-1.095900e-09
0.313373     	-1.097311e-09
0.315259     	-1.099501e-09
0.317145     	-1.101164e-09
0.319032     	-1.103546e-09
0.320918     	-1.105976e-09
0.322804     	-1.108355e-09
0.324691     	-1.110917e-09
0.326577     	-1.112877e-09
0.328463     	-1.115258e-09
0.33035      	-1.117500e-09
0.332236     	-1.119589e-09
0.334117     	-1.122329e-09
0.335998     	-1.124758e-09
0.337879     	-1.127274e-09
0.33976      	-1.129240e-09
0.341641     	-1.131900e-09
0.343522     	-1.133488e-09
0.345403     	-1.135711e-09
0.347284     	-1.137758e-09
0.349165     	-1.139815e-09
0.351046     	-1.142080e-09
0.352927     	-1.143814e-09
0.354808     	-1.145542e-09
0.356689     	-1.148005e-09
0.358565     	-1.150066e-09
0.360441     	-1.152193e-09
0.362311     	-1.154162e-09
0.364181     	-1.156298e-09
0.366051     	-1.157267e-09
0.367921     	-1.158888e-09
0.369785     	-1.159660e-09
0.37165      	-1.161738e-09
0.373514     	-1.163548e-09
0.375379     	-1.164411e-09
0.377238     	-1.165433e-09
0.379091     	-1.167184e-09
0.380939     	-1.168404e-09
0.382782     	-1.169908e-09
0.384624     	-1.169612e-09
0.386461     	-1.169889e-09
0.388293     	-1.170086e-09
0.390119     	-1.170081e-09
0.391939     	-1.170331e-09
0.393754     	-1.170525e-09
0.395564     	-1.170501e-09
0.397368     	-1.170822e-09
0.399162     	-1.170554e-09
0.400945     	-1.170085e-09
0.402722     	-1.170779e-09
0.404489     	-1.170892e-09
0.406251     	-1.170456e-09
0.408003     	-1.170451e-09
0.409749     	-1.169536e-09
0.411485     	-1.168787e-09
0.413216     	-1.168514e-09
0.414937     	-1.168249e-09
0.416653     	-1.167555e-09
0.418363     	-1.166461e-09
0.420064     	-1.166675e-09
0.42176      	-1.166266e-09
0.42345      	-1.166083e-09
0.425136     	-1.165180e-09
0.426812     	-1.165011e-09
0.428483     	-1.164079e-09
0.43015      	-1.163012e-09
0.431811     	-1.163840e-09
0.433467     	-1.163185e-09
0.435119     	-1.162966e-09
0.436766     	-1.162164e-09
0.438408     	-1.161598e-09
0.440045     	-1.160869e-09
0.441683     	-1.160704e-09
0.443315     	-1.160432e-09
0.444943     	-1.161530e-09
0.446571     	-1.162108e-09
0.448194     	-1.161156e-09
0.449817     	-1.159959e-09
0.45144      	-1.159721e-09
0.453058     	-1.159438e-09
0.454676     	-1.158493e-09
0.456294     	-1.157684e-09
0.457912     	-1.157641e-09
0.459526     	-1.158401e-09
0.461139     	-1.158582e-09
0.462747     	-1.158769e-09
0.464356     	-1.159021e-09
0.465965     	-1.158482e-09
0.467568     	-1.158304e-09
0.469172     	-1.157438e-09
0.470776     	-1.158148e-09
0.472379     	-1.160262e-09
0.473983     	-1.160627e-09
0.475592     	-1.160975e-09
0.4772       	-1.161544e-09
0.478809     	-1.160628e-09
0.480423     	-1.162489e-09
0.482036     	-1.163309e-09
0.48365      	-1.163355e-09
0.485263     	-1.163792e-09
0.486877     	-1.164270e-09
0.488491     	-1.165094e-09
0.490104     	-1.163503e-09
0.491723     	-1.165102e-09
0.493342     	-1.166571e-09
0.494955     	-1.167313e-09
0.496569     	-1.166452e-09
0.498182     	-1.166599e-09
0.499796     	-1.167259e-09
0.501409     	-1.164526e-09
0.503023     	-1.162784e-09
0.504636     	-1.164498e-09
0.50625      	-1.163900e-09
0.507864     	-1.163393e-09
0.509482     	-1.162011e-09
0.511101     	-1.160102e-09
0.51272      	-1.158211e-09
0.514339     	-1.156097e-09
0.515958     	-1.154172e-09
0.517577     	-1.152867e-09
0.519196     	-1.150160e-09
0.520815     	-1.146658e-09
0.522433     	-1.144582e-09
0.524052     	-1.141960e-09
0.525671     	-1.137842e-09
0.527285     	-1.134487e-09
0.528898     	-1.130605e-09
0.530511     	-1.126603e-09
0.53213      	-1.119396e-09
0.533749     	-1.119212e-09
0.535368     	-1.114752e-09
0.536987     	-1.110201e-09
0.538606     	-1.104770e-09
0.540231     	-1.099831e-09
0.541855     	-1.093894e-09
0.54348      	-1.084096e-09
0.54511      	-1.078080e-09
0.546741     	-1.070679e-09
0.548371     	-1.062010e-09
0.550007     	-1.056052e-09
0.551644     	-1.046147e-09
0.55328      	-1.036390e-09
0.554916     	-1.026807e-09
0.556559     	-1.018442e-09
0.558201     	-1.009025e-09
0.559844     	-1.000078e-09
0.561486     	-9.896044e-10
0.563128     	-9.787402e-10
0.564771     	-9.681531e-10
0.566413     	-9.569106e-10
0.568055     	-9.454531e-10
0.569698     	-9.344003e-10
0.57134      	-9.209813e-10
0.572983     	-9.082247e-10
0.574625     	-8.944308e-10
0.576274     	-8.822216e-10
0.577922     	-8.700482e-10
0.579571     	-8.549092e-10
0.58122      	-8.412635e-10
0.582869     	-8.290807e-10
0.584524     	-8.146579e-10
0.586179     	-8.015318e-10
0.587834     	-7.867631e-10
0.589496     	-7.718296e-10
0.591158     	-7.570711e-10
0.59282      	-7.409003e-10
0.594482     	-7.260406e-10
0.596144     	-7.109051e-10
0.597813     	-6.957116e-10
