# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phiSub)
0.0119048    	-2.399500e-14
0.014505     	-2.419325e-15
0.017133     	-2.087298e-15
0.019747     	-1.237064e-15
0.022368     	5.646112e-16
0.024989     	6.994836e-16
0.02761      	1.367050e-16
0.030231     	2.018741e-16
0.032852     	-1.209282e-16
0.0354659    	-8.503260e-17
0.0380798    	-4.445149e-18
0.0406867    	-2.775655e-17
0.0432935    	1.227531e-16
0.0459003    	1.392631e-16
0.0485071    	1.339069e-16
0.051114     	-2.687449e-16
0.0537137    	-2.443013e-16
0.0563133    	-7.520384e-17
0.058913     	-6.407814e-17
0.0615127    	6.891507e-17
0.0641124    	7.129945e-17
0.0667121    	1.512910e-16
0.0693118    	1.673670e-16
0.0719115    	1.847323e-16
0.0745039    	-1.594030e-16
0.0770963    	-3.275062e-16
0.0796887    	-1.424871e-16
0.0822812    	3.038034e-17
0.0848663    	-2.495444e-16
0.0874514    	-9.179179e-17
0.0900365    	-2.866681e-16
0.0926143    	-2.439340e-16
0.0951921    	-3.275488e-16
0.0977699    	-2.276402e-16
0.10034      	-1.926912e-16
0.102911     	-1.533451e-16
0.105481     	-8.631011e-17
0.108052     	5.097215e-17
0.110615     	-2.370880e-17
0.113178     	-5.933411e-17
0.115741     	4.452817e-17
0.118304     	-8.180530e-17
0.120867     	6.097529e-17
0.12343      	1.983160e-17
0.125993     	1.797170e-17
0.128549     	-1.408965e-16
0.131104     	2.687403e-16
0.13366      	-7.708530e-17
0.136216     	2.220542e-16
0.138771     	-1.243655e-16
0.141319     	-5.322322e-17
0.143867     	-3.563352e-17
0.146415     	-4.192864e-17
0.148963     	-1.849942e-17
0.151504     	-1.138704e-16
0.154044     	-1.539779e-16
0.156584     	-5.445644e-17
0.159117     	-1.163568e-16
0.16165      	2.705167e-16
0.164183     	-1.256935e-16
0.166708     	3.055073e-17
0.169233     	-2.504916e-16
0.171758     	-8.329450e-17
0.174276     	-4.117665e-17
0.176793     	-6.189565e-16
0.17931      	-1.974786e-16
0.18182      	-2.148321e-16
0.18433      	-2.224201e-16
0.18684      	-2.370288e-16
0.189342     	-9.868841e-17
0.191844     	-7.920103e-17
0.194346     	-9.679929e-17
0.19684      	-1.005289e-16
0.199334     	-1.713375e-16
0.201829     	-8.258411e-17
0.204323     	-2.216465e-16
0.206809     	-1.424765e-16
0.209296     	-2.633896e-16
0.211782     	-1.408408e-16
0.214269     	-1.808766e-16
0.216748     	-2.497193e-16
0.219226     	-1.658346e-16
0.221705     	-7.398424e-17
0.224184     	-3.008099e-16
0.226654     	-4.352479e-16
0.229125     	-4.319263e-16
0.231596     	6.552295e-17
0.234067     	-3.033000e-16
0.236529     	-3.687804e-16
0.238992     	-3.461208e-16
0.241455     	-3.050035e-16
0.243918     	-4.445755e-16
0.246381     	-3.759900e-16
0.248835     	-4.490950e-16
0.25129      	-7.036260e-16
0.253745     	-5.459469e-16
0.2562       	-2.651592e-16
0.258655     	-3.485100e-16
0.261109     	-6.000289e-16
0.263556     	-3.267490e-16
0.266003     	-3.466968e-16
0.268449     	-4.483604e-16
0.270896     	-5.098500e-16
0.273343     	-4.221516e-16
0.275789     	-8.515604e-16
0.278236     	-4.961737e-16
0.280674     	-2.656749e-16
0.283113     	-4.374246e-16
0.285551     	-4.358133e-16
0.287989     	-4.269748e-16
0.290428     	-4.330024e-16
0.292866     	-5.088164e-16
0.295305     	-5.000920e-16
0.297743     	-4.439004e-16
0.300181     	2.959926e-16
0.30262      	-5.232973e-16
0.30505      	-6.393894e-16
0.30748      	3.682218e-16
0.30991      	-5.903590e-16
0.312339     	-4.896839e-16
0.314769     	2.261079e-16
0.317199     	-4.749454e-16
0.319629     	-4.722476e-16
0.322059     	-4.709254e-16
0.324489     	-4.903698e-16
0.326919     	-4.021162e-16
0.329349     	-5.246756e-16
0.331779     	2.675805e-16
0.334208     	-5.652108e-16
0.336638     	-4.730211e-16
0.339068     	5.305049e-16
0.341498     	-5.223917e-16
0.343928     	-4.548177e-16
0.346358     	-5.797291e-16
0.348788     	-3.641101e-16
0.351218     	-1.585315e-16
0.353648     	-2.785611e-16
0.356078     	-5.155767e-16
0.358507     	-4.913037e-16
0.360937     	-4.905783e-16
0.363367     	-5.586434e-16
0.365797     	-5.037178e-16
0.368227     	-5.485410e-16
0.370657     	-5.143257e-16
0.373087     	-5.654694e-16
0.375517     	-4.944659e-16
0.377947     	-4.629322e-16
0.380377     	-4.046327e-16
0.382806     	-1.505766e-16
0.385236     	-1.527876e-16
0.387666     	-3.667002e-16
0.390096     	-4.909465e-16
0.392526     	-5.420150e-16
0.394966     	-6.139817e-16
0.397405     	-1.483596e-16
0.399845     	-5.201539e-16
0.402285     	-4.557184e-16
0.404724     	-5.124178e-16
0.407164     	-5.073645e-16
0.409604     	-6.385097e-16
0.412043     	-4.478827e-16
0.414483     	-4.918349e-16
0.416923     	-4.374993e-16
0.419362     	-5.151610e-16
0.421802     	-4.743963e-16
0.424242     	-5.341941e-16
0.426681     	-5.570184e-16
0.42911      	-4.238175e-16
0.43154      	-4.651660e-16
0.433959     	-3.370647e-16
0.436378     	-3.749748e-16
0.438786     	-5.016457e-16
0.441195     	-8.314346e-17
0.443593     	-2.308737e-16
0.445992     	-3.788019e-16
0.44839      	-5.052906e-16
0.450778     	-4.461154e-16
0.453166     	-5.435994e-16
0.455543     	-5.599271e-16
0.457921     	-5.890531e-17
0.460288     	-4.782440e-16
0.462655     	-2.027826e-16
0.465012     	-1.517484e-16
0.467369     	-3.407462e-17
0.469715     	-8.384511e-17
0.472062     	-3.434687e-16
0.474408     	-2.482640e-16
0.476744     	-2.819973e-16
0.47908      	-2.325830e-16
0.481405     	1.992758e-17
0.483731     	1.233513e-16
0.486046     	-2.058115e-16
0.488351     	-2.265868e-16
0.490655     	-4.374610e-16
0.49295      	-6.376547e-17
0.495234     	4.316119e-17
0.497508     	1.431191e-17
0.499781     	4.920875e-17
0.502045     	-1.508439e-16
0.504298     	-4.901970e-17
0.506541     	-6.599854e-18
0.508784     	3.094524e-17
0.511017     	-3.098341e-17
0.513239     	-3.088637e-17
0.515462     	-4.455593e-16
0.517675     	-4.252701e-16
0.519887     	-2.856151e-16
0.522089     	-9.145512e-17
0.524282     	-8.933382e-17
0.526474     	-1.652965e-18
0.528656     	-1.361400e-16
0.530838     	-1.859450e-16
0.53301      	1.253753e-17
0.535182     	6.384198e-17
0.537354     	1.641076e-16
0.539516     	1.217641e-16
0.541678     	1.294531e-17
0.54384      	-7.395888e-17
0.545992     	1.036602e-16
0.548143     	5.580602e-16
0.550295     	9.835915e-16
0.552437     	1.151466e-17
0.554578     	-2.770209e-16
0.556709     	6.827356e-16
0.55884      	5.375414e-16
0.560972     	3.285106e-17
0.563093     	5.386844e-16
0.565213     	3.527700e-16
0.567334     	-1.022683e-16
0.569455     	7.955031e-16
0.571576     	1.501435e-15
0.573687     	5.775338e-16
0.575797     	-3.505205e-16
0.577908     	-3.135173e-16
0.580018     	3.076707e-16
0.582128     	-2.254698e-16
0.584239     	-1.280210e-16
0.586349     	-2.290040e-16
0.588471     	-8.825399e-17
0.590592     	1.335580e-16
0.592713     	1.391314e-16
0.594835     	1.714198e-16
0.596956     	-1.493962e-16
0.599077     	-9.249255e-17
0.601198     	-8.629981e-18
0.60332      	-6.347602e-17
0.605441     	2.658475e-17
0.607562     	-2.072149e-16
0.609684     	1.911543e-16
0.611805     	5.868946e-18
0.613926     	-6.890130e-16
0.616047     	-3.680298e-16
0.618169     	-4.055212e-16
0.62029      	-2.389952e-16
0.622411     	-5.916905e-17
0.624533     	5.862115e-17
0.626654     	1.976040e-17
0.628787     	-2.978169e-16
0.630921     	9.285174e-17
0.633054     	6.712342e-17
0.635187     	-9.530998e-17
0.637321     	-3.370511e-17
0.639467     	2.294062e-18
0.641613     	1.162064e-17
0.643759     	-1.560406e-17
0.645905     	-1.463430e-16
