# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phi)
0.0119048    	0.000000e+00
0.0136413    	2.580804e-22
0.0153687    	-1.395867e-23
0.0170962    	6.850089e-24
0.0188297    	8.142559e-25
0.0205632    	1.196181e-23
0.0222967    	-4.982471e-24
0.0240302    	-1.134546e-24
0.0257607    	9.838926e-24
0.027488     	-8.223339e-24
0.0292154    	-1.148359e-23
0.0309397    	3.521980e-25
0.032664     	-1.226554e-23
0.0343883    	-5.079406e-24
0.0361126    	-7.716044e-24
0.0378339    	-1.124449e-24
0.0395551    	-9.447954e-24
0.0412763    	-9.118374e-24
0.0429975    	-7.405851e-24
0.0447188    	-7.625571e-24
0.04644      	-8.743558e-24
0.0481612    	-1.660824e-24
0.0498794    	1.376480e-24
0.0515975    	5.182804e-24
0.0533156    	1.050778e-23
0.0550306    	3.903259e-24
0.0567456    	-6.152156e-24
0.0584575    	-1.757759e-24
0.0601694    	-1.054009e-23
0.0618782    	-8.885729e-24
0.063587     	5.977672e-24
0.0652926    	3.379808e-24
0.0669983    	5.247427e-24
0.0687009    	2.656025e-24
0.0704034    	-1.344168e-24
0.072106     	1.070165e-23
0.0738054    	-2.326445e-25
0.0755049    	-7.780668e-24
0.0772043    	5.350825e-24
0.0789006    	-9.771071e-24
0.0805969    	7.851753e-24
0.0822932    	-2.177811e-24
0.0839896    	-1.059179e-23
0.0856827    	8.737095e-24
0.0873759    	3.011454e-24
0.0890691    	-1.021051e-24
0.0907591    	2.029177e-24
0.0924492    	9.887393e-25
0.0941361    	-3.244099e-24
0.095823     	2.513854e-24
0.0975067    	-1.680211e-25
0.0991905    	9.693523e-26
0.100871     	-5.531770e-24
0.102549     	1.266620e-24
0.104226     	1.344168e-23
0.1059       	5.505921e-24
0.107572     	0.000000e+00
0.109243     	-2.255360e-24
0.110911     	-1.509605e-23
0.112576     	-1.015881e-23
0.114241     	2.003328e-24
0.115903     	1.055948e-23
0.117561     	-5.260352e-24
0.11922      	-9.435029e-25
0.120876     	-1.938705e-26
0.122528     	-7.166745e-24
0.124181     	-2.235973e-24
0.12583      	-7.535098e-24
0.127479     	-6.927638e-24
0.129126     	-5.738565e-24
0.130769     	-3.690001e-24
0.132412     	4.517182e-24
0.134052     	1.110231e-23
0.135689     	-3.670614e-24
0.137326     	1.033976e-25
0.13896      	1.227200e-23
0.140591     	-6.152156e-24
0.142218     	3.431507e-24
0.143846     	-1.932888e-23
0.145471     	-1.032037e-23
0.147092     	-6.462349e-26
0.14871      	7.095659e-24
0.150329     	3.308722e-24
0.151944     	1.001664e-24
0.153556     	6.630370e-24
0.155169     	2.572015e-24
0.156778     	-1.678918e-23
0.158387     	5.344362e-24
0.159993     	4.711052e-24
0.161596     	-4.517182e-24
0.163199     	6.165081e-24
0.164799     	1.919318e-24
0.166399     	-8.872805e-24
0.167996     	2.908057e-25
0.169593     	9.835694e-24
0.171187     	-4.265150e-24
0.172781     	-1.146421e-23
0.174372     	-4.743364e-24
0.175963     	1.208459e-24
0.177553     	-1.660824e-24
0.179141     	-1.990403e-24
0.180726     	-2.908057e-25
