# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phiSub)
0.0119048    	2.021061e-08
0.0133951    	9.299516e-09
0.014881     	1.491728e-09
0.0163668    	-6.795988e-10
0.0178549    	-1.255842e-09
0.0193453    	-1.225003e-09
0.0208334    	-1.177046e-09
0.0223214    	-1.117346e-09
0.0238073    	-1.070897e-09
0.0252909    	-1.031233e-09
0.0267722    	-9.998389e-10
0.0282535    	-9.751160e-10
0.0297326    	-9.551256e-10
0.0312116    	-9.382423e-10
0.0326907    	-9.238322e-10
0.0341698    	-9.111319e-10
0.0356488    	-9.003136e-10
0.0371279    	-8.909950e-10
0.0386047    	-8.827057e-10
0.0400815    	-8.754417e-10
0.0415583    	-8.700153e-10
0.0430351    	-8.603702e-10
0.0445119    	-8.589200e-10
0.0459864    	-8.551065e-10
0.0474609    	-8.519804e-10
0.0489332    	-8.483234e-10
0.0504054    	-8.448827e-10
0.0518754    	-8.414159e-10
0.0533453    	-8.380552e-10
0.054813     	-8.349163e-10
0.0562784    	-8.325152e-10
0.0577438    	-8.302730e-10
0.0592069    	-8.282931e-10
0.0606701    	-8.261921e-10
0.0621309    	-8.242788e-10
0.0635918    	-8.223781e-10
0.0650504    	-8.206429e-10
0.0665089    	-8.191394e-10
0.0679653    	-8.177676e-10
0.0694216    	-8.164512e-10
0.0708779    	-8.154741e-10
0.0723319    	-8.144705e-10
0.0737859    	-8.134734e-10
0.0752399    	-8.126976e-10
0.0766917    	-8.117733e-10
0.0781434    	-8.110168e-10
0.0795929    	-8.102803e-10
0.0810423    	-8.095027e-10
0.0824895    	-8.088181e-10
0.0839344    	-8.084027e-10
0.0853793    	-8.077661e-10
0.0868219    	-8.072344e-10
0.0882623    	-8.067130e-10
0.0897004    	-8.062136e-10
0.0911384    	-8.057109e-10
0.0925742    	-8.053370e-10
0.0940078    	-8.048125e-10
0.095439     	-8.041186e-10
0.096868     	-8.036063e-10
0.0982948    	-8.030974e-10
0.0997193    	-8.027230e-10
0.101144     	-8.023986e-10
0.102566     	-8.021783e-10
0.103986     	-8.018838e-10
0.105404     	-8.015215e-10
0.106821     	-8.012085e-10
0.108237     	-8.009360e-10
0.10965      	-8.007152e-10
0.111061     	-8.005347e-10
0.11247      	-8.003656e-10
0.113879     	-8.002651e-10
0.115285     	-7.999390e-10
0.11669      	-7.997304e-10
0.118092     	-7.993651e-10
0.119492     	-7.991128e-10
0.120889     	-7.989463e-10
0.122285     	-7.987317e-10
0.123678     	-7.981418e-10
0.125069     	-7.984723e-10
0.126458     	-7.979677e-10
0.127844     	-7.977879e-10
0.129229     	-7.974201e-10
0.130613     	-7.971388e-10
0.131995     	-7.971260e-10
0.133375     	-7.970495e-10
0.134753     	-7.965887e-10
0.136128     	-7.966467e-10
0.137502     	-7.964526e-10
0.138875     	-7.958492e-10
0.140246     	-7.949069e-10
0.141616     	-7.946735e-10
0.142982     	-7.946476e-10
0.144349     	-7.944005e-10
0.145714     	-7.939538e-10
0.147076     	-7.940663e-10
0.148439     	-7.941413e-10
0.149799     	-7.939966e-10
0.151157     	-7.940238e-10
0.152516     	-7.932332e-10
0.153871     	-7.929290e-10
0.155225     	-7.928587e-10
0.156577     	-7.926314e-10
0.157926     	-7.925399e-10
0.159276     	-7.923471e-10
0.160623     	-7.924745e-10
0.161968     	-7.924479e-10
0.163314     	-7.922365e-10
0.164657     	-7.921726e-10
0.165997     	-7.920633e-10
0.167338     	-7.918944e-10
0.168677     	-7.917419e-10
0.170013     	-7.914749e-10
0.17135      	-7.912829e-10
0.172684     	-7.906967e-10
0.174019     	-7.896871e-10
0.175351     	-7.893319e-10
0.176683     	-7.890083e-10
0.178013     	-7.887677e-10
0.179343     	-7.885119e-10
0.180671     	-7.881555e-10
0.181999     	-7.878731e-10
0.183325     	-7.876744e-10
0.184651     	-7.875359e-10
0.185974     	-7.873212e-10
0.187298     	-7.870120e-10
0.188622     	-7.866339e-10
0.189943     	-7.864733e-10
0.191264     	-7.861875e-10
0.192584     	-7.857610e-10
0.193903     	-7.853157e-10
0.19522      	-7.850046e-10
0.196537     	-7.847220e-10
0.197855     	-7.844317e-10
0.19917      	-7.841066e-10
0.200485     	-7.835579e-10
0.2018       	-7.829099e-10
0.203112     	-7.830121e-10
0.204425     	-7.827994e-10
0.205738     	-7.823828e-10
0.207049     	-7.816145e-10
0.208359     	-7.816034e-10
0.20967      	-7.815670e-10
0.210981     	-7.814599e-10
0.212289     	-7.812818e-10
0.213598     	-7.814907e-10
0.214906     	-7.807832e-10
0.216215     	-7.805556e-10
0.217523     	-7.792460e-10
0.218832     	-7.789493e-10
0.22014      	-7.790008e-10
0.221449     	-7.791227e-10
0.222757     	-7.781500e-10
0.224066     	-7.776964e-10
0.225374     	-7.780204e-10
0.226683     	-7.772216e-10
0.227991     	-7.771193e-10
0.2293       	-7.771845e-10
0.230606     	-7.772656e-10
0.231912     	-7.774121e-10
0.233216     	-7.775091e-10
0.23452      	-7.775028e-10
0.235822     	-7.775461e-10
0.237124     	-7.775999e-10
0.238423     	-7.780395e-10
0.239723     	-7.781652e-10
0.24102      	-7.783227e-10
0.242318     	-7.782604e-10
0.243613     	-7.787290e-10
0.244908     	-7.786830e-10
0.246201     	-7.778264e-10
0.247494     	-7.779831e-10
0.248787     	-7.780610e-10
0.250078     	-7.779044e-10
0.251369     	-7.777396e-10
0.252657     	-7.774917e-10
0.253943     	-7.771387e-10
0.25523      	-7.770338e-10
0.256514     	-7.769027e-10
0.257796     	-7.768068e-10
0.259078     	-7.765208e-10
0.260357     	-7.760980e-10
0.261637     	-7.766175e-10
0.262917     	-7.768441e-10
0.264194     	-7.784768e-10
0.265469     	-7.781383e-10
0.266742     	-7.777153e-10
0.268013     	-7.774888e-10
0.269282     	-7.777996e-10
0.27055      	-7.775782e-10
0.271817     	-7.774736e-10
0.273081     	-7.780168e-10
0.274345     	-7.779506e-10
0.275607     	-7.780231e-10
0.276869     	-7.780928e-10
0.278129     	-7.780416e-10
0.279389     	-7.770654e-10
0.280649     	-7.748116e-10
0.281908     	-7.749023e-10
0.283166     	-7.741218e-10
0.284424     	-7.734365e-10
