# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phi)
0.0119048    	0.000000e+00
0.0133951    	4.706658e-22
0.0148787    	-2.520316e-23
0.0163646    	-6.384800e-24
0.0178527    	7.431701e-24
0.0193408    	-2.985605e-24
0.0208289    	4.744172e-24
0.0223147    	3.806323e-24
0.0238006    	1.811073e-23
0.0252842    	-2.953293e-24
0.0267655    	4.097129e-24
0.0282468    	9.706448e-24
0.0297259    	1.098599e-24
0.031205     	1.910916e-23
0.032684     	1.026221e-23
0.0341631    	-1.459845e-23
0.0356422    	-1.090844e-23
0.037119     	-2.573307e-23
0.0385958    	-1.605247e-23
0.0400726    	1.223969e-23
0.0415494    	1.514774e-23
0.0430263    	-2.029177e-24
0.0445031    	-7.199056e-24
0.0459776    	1.628512e-24
0.0474521    	-2.843433e-24
0.0489244    	6.397725e-24
0.0503966    	6.888864e-24
0.0518666    	-2.727111e-24
0.0533366    	-1.058533e-23
0.0548043    	-1.019759e-23
0.0562697    	-1.083090e-23
0.0577351    	-2.045980e-23
0.0591983    	7.367077e-24
0.0606614    	1.293762e-23
0.0621223    	-8.207183e-24
0.0635831    	5.324975e-24
0.0650417    	-2.675412e-24
0.0665003    	-1.145128e-23
0.0679566    	-2.100263e-23
0.069413     	2.843433e-24
0.0708693    	-1.239478e-23
0.0723233    	4.963084e-24
0.0737774    	-1.346753e-23
0.0752314    	6.953487e-24
0.0766832    	7.974538e-24
0.0781349    	-1.071457e-23
0.0795844    	2.145500e-24
0.0810339    	-1.009419e-23
0.082481     	1.318319e-24
0.083926     	-2.441475e-23
0.0853709    	-8.633698e-24
0.0868135    	5.260352e-24
0.0882539    	8.646622e-24
0.0896919    	-9.551351e-24
0.0911278    	-1.822382e-23
0.0925636    	2.323861e-23
0.0939971    	-9.538426e-24
0.0954284    	-7.095659e-24
0.0968574    	5.454222e-24
0.0982842    	-7.095659e-24
0.0997087    	-2.145500e-24
0.101133     	-2.272162e-23
0.102555     	5.014782e-24
0.103975     	1.550964e-23
0.105393     	3.089003e-24
0.106811     	1.229139e-23
0.108227     	-1.155468e-23
0.10964      	7.858216e-24
0.111051     	-1.766806e-23
0.11246      	-1.128326e-23
0.113868     	-7.754818e-24
0.115275     	9.176535e-24
0.116679     	-7.056885e-24
0.118081     	-3.593066e-24
0.119481     	-2.197199e-24
0.120879     	-3.166551e-24
0.122274     	5.531770e-24
0.123668     	-1.667286e-24
0.125059     	-1.762929e-23
0.126447     	-1.938705e-25
0.127834     	1.762929e-23
0.129218     	-2.403994e-24
0.130603     	2.839556e-23
0.131985     	4.104884e-23
0.133365     	2.920982e-24
0.134743     	1.306687e-23
0.136118     	-2.199783e-23
0.137492     	2.486712e-23
0.138865     	2.649563e-24
0.140236     	1.702183e-23
0.141605     	2.861528e-23
0.142972     	1.809458e-25
0.144339     	3.993731e-24
0.145704     	-2.119650e-24
0.147066     	8.090860e-24
0.148429     	2.070536e-23
0.149789     	-7.754818e-24
0.151147     	3.218250e-24
0.152506     	-2.546165e-24
0.153862     	-3.618915e-24
0.155215     	5.001858e-24
0.156567     	4.135903e-25
0.157917     	-8.090860e-24
0.159266     	-1.924487e-23
0.160613     	3.096757e-23
0.161959     	-1.707352e-23
0.163304     	9.603050e-24
0.164647     	-1.857279e-23
0.165988     	-9.706448e-24
0.167328     	-6.397725e-24
0.168667     	-8.452752e-24
0.170004     	1.528992e-23
0.17134      	2.197199e-25
0.172675     	-2.049857e-23
0.174009     	2.720649e-23
0.175341     	9.279932e-24
0.176673     	7.224906e-24
0.178004     	-8.956815e-24
0.179334     	-1.773268e-23
0.180662     	2.869283e-23
0.18199      	4.730439e-24
0.183315     	-8.918041e-25
0.184641     	-2.067952e-24
0.185965     	1.603955e-23
0.187288     	-1.777146e-23
0.188612     	7.754818e-25
0.189934     	-1.642729e-23
0.191255     	1.751296e-23
0.192574     	-6.242629e-24
0.193894     	3.089003e-24
0.195211     	-8.103785e-24
0.196528     	-2.615959e-23
0.197845     	-3.269948e-24
0.19916      	-3.011454e-24
0.200475     	1.018466e-23
0.201788     	1.183902e-23
0.203101     	-1.251111e-23
0.204414     	1.338999e-23
0.205727     	3.954957e-24
0.207037     	-2.155839e-23
0.208348     	-6.591596e-24
0.209659     	9.745222e-24
0.210969     	-5.505921e-24
0.212278     	-2.365220e-23
0.213586     	-2.261822e-23
0.214895     	1.070165e-23
0.216203     	3.308722e-24
0.217512     	1.098599e-23
0.21882      	2.365220e-23
0.220129     	-7.677270e-24
0.221437     	-9.150686e-24
0.222746     	-1.447566e-24
0.224054     	4.782138e-24
0.225363     	1.103769e-23
0.226671     	-2.339370e-23
0.22798      	4.911385e-25
0.229288     	-3.360421e-25
