# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phi)
0.0119048    	0.000000e+00
0.0136322    	1.852232e-06
0.0154387    	2.261138e-07
0.0172354    	1.141316e-07
0.0190255    	5.696477e-08
0.0208123    	4.996371e-08
0.0225927    	4.317348e-08
0.0243698    	3.923566e-08
0.0261436    	3.657358e-08
0.0279143    	3.480067e-08
0.0296817    	3.354839e-08
0.0314459    	3.271137e-08
0.0332101    	3.209948e-08
0.0349711    	3.157846e-08
0.0367289    	3.118559e-08
0.0384867    	3.087140e-08
0.0402413    	3.061894e-08
0.0419959    	3.042127e-08
0.0437473    	3.027216e-08
0.0454987    	3.014231e-08
0.0472468    	3.004634e-08
0.048995     	2.996549e-08
0.05074      	2.989377e-08
0.0524849    	2.983652e-08
0.0542267    	2.979041e-08
0.0559684    	2.974090e-08
0.057707     	2.969472e-08
0.0594423    	2.965563e-08
0.0611777    	2.962093e-08
0.0629098    	2.958973e-08
0.064642     	2.956621e-08
0.0663709    	2.953998e-08
0.0680967    	2.951677e-08
0.0698224    	2.949005e-08
0.071545     	2.947191e-08
0.0732675    	2.945505e-08
0.0749869    	2.944083e-08
0.0767062    	2.942823e-08
0.0784224    	2.941875e-08
0.0801385    	2.941295e-08
0.0818547    	2.940704e-08
0.0835677    	2.940143e-08
0.0852806    	2.939388e-08
0.0869904    	2.939194e-08
0.0887001    	2.938722e-08
0.0904099    	2.939670e-08
0.0921164    	2.940378e-08
0.093823     	2.940115e-08
0.0955295    	2.939284e-08
0.0972329    	2.938435e-08
0.0989362    	2.938063e-08
0.100636     	2.937978e-08
0.102336     	2.938151e-08
0.104033     	2.937910e-08
0.10573      	2.937726e-08
0.107424     	2.937565e-08
0.109118     	2.937248e-08
0.110808     	2.937721e-08
0.112499     	2.937771e-08
0.114186     	2.937834e-08
0.115873     	2.937717e-08
0.117557     	2.937381e-08
0.119238     	2.938145e-08
0.120919     	2.940004e-08
0.122596     	2.941809e-08
0.124274     	2.944087e-08
0.125949     	2.946378e-08
0.127623     	2.948563e-08
0.129297     	2.950842e-08
0.130969     	2.953401e-08
0.13264      	2.955699e-08
0.134308     	2.957975e-08
0.135976     	2.959710e-08
0.137641     	2.961763e-08
0.139305     	2.963877e-08
0.140967     	2.966175e-08
