# Region type : patch top
# Faces  :   120
# Area   :   1.257186e-02
# Time       	sumDirection(advectiveCFluxSub)
1            	7.061592e-08
2            	7.082666e-08
3            	7.090314e-08
4            	7.092336e-08
5            	7.091995e-08
6            	7.090377e-08
7            	7.088277e-08
