# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phi)
0.0119048    	0.000000e+00
0.0133951    	-8.768114e-23
0.014881     	-2.212708e-23
0.0163668    	1.033976e-23
0.0178549    	-1.514774e-23
0.0193453    	-3.153626e-24
0.0208334    	2.016253e-24
0.0223214    	2.765885e-24
0.0238073    	1.659531e-23
0.0252909    	-1.165808e-23
0.0267722    	-5.247427e-24
0.0282535    	-9.305782e-25
0.0297326    	1.286330e-23
0.0312116    	6.850089e-25
0.0326907    	-5.210269e-24
0.0341698    	3.353555e-24
0.0356488    	8.040777e-24
0.0371279    	6.249091e-24
0.0386047    	5.150492e-24
0.0400815    	-2.762654e-24
0.0415583    	-5.386368e-24
0.0430351    	-5.580238e-24
0.0445119    	9.189460e-24
0.0459864    	-8.998820e-24
0.0474609    	-2.449230e-24
0.0489332    	1.286007e-24
0.0504054    	-3.166551e-24
0.0518754    	2.520316e-25
0.0533453    	-3.586603e-24
0.054813     	-2.433074e-23
0.0562784    	-8.769407e-24
0.0577438    	-1.318319e-24
0.0592069    	-8.194258e-24
0.0606701    	4.904923e-24
0.0621309    	9.738759e-24
0.0635918    	-1.169685e-24
0.0650504    	-3.883871e-24
0.0665089    	-9.848619e-24
0.0679653    	6.242629e-24
0.0694216    	5.299126e-25
0.0708779    	1.822382e-24
0.0723319    	1.079212e-23
0.0737859    	7.819442e-24
0.0752399    	-1.168393e-23
0.0766917    	-7.237830e-25
0.0781434    	-8.543225e-24
0.0795929    	2.274747e-24
0.0810423    	3.386271e-24
0.0824895    	6.720842e-24
0.0839344    	-1.013296e-23
0.0853793    	4.820912e-24
0.0868219    	-1.289885e-23
0.0882623    	-5.428373e-25
0.0897004    	1.134788e-23
0.0911384    	-1.231724e-23
0.0925742    	1.332536e-23
0.0940078    	1.000372e-23
0.095439     	5.014782e-24
0.096868     	-1.227846e-24
0.0982948    	-9.835694e-24
0.0997193    	1.046900e-24
0.101144     	-7.560948e-24
0.102566     	4.135903e-25
0.103986     	3.463819e-24
0.105404     	1.119279e-23
0.106821     	-1.680211e-25
0.108237     	-3.425045e-24
0.10965      	-6.165081e-24
0.111061     	-1.680211e-24
0.11247      	2.946831e-24
0.113879     	-1.394575e-23
0.115285     	-5.169879e-24
0.11669      	-2.765885e-24
0.118092     	-3.644765e-24
0.119492     	-1.176147e-24
0.120889     	1.408792e-24
0.122285     	5.247427e-24
0.123678     	5.363749e-24
0.125069     	-7.380002e-24
0.126458     	-1.128326e-23
0.127844     	-6.888864e-24
0.129229     	4.807987e-24
0.130613     	-5.686867e-24
0.131995     	-4.627042e-24
0.133375     	6.694993e-24
0.134753     	5.467147e-24
0.136128     	8.685396e-24
0.137502     	-6.203855e-24
0.138875     	2.132575e-23
0.140246     	-1.470831e-23
0.141616     	1.086967e-23
0.142982     	-1.563888e-24
0.144349     	6.694993e-24
0.145714     	4.394397e-25
0.147076     	1.119279e-23
0.148439     	-2.378144e-24
0.149799     	-2.895132e-24
0.151157     	1.589738e-24
0.152516     	-4.019581e-24
0.153871     	-1.292470e-25
0.155225     	1.421717e-25
0.156577     	-2.882207e-24
0.157926     	-1.019759e-23
0.159276     	-1.550964e-24
0.160623     	3.567216e-24
0.161968     	-1.865034e-23
0.163314     	1.525114e-24
0.164657     	-3.089003e-24
0.165997     	6.061683e-24
0.167338     	3.050229e-24
0.168677     	1.554841e-23
0.170013     	3.063153e-24
0.17135      	2.274747e-24
0.172684     	-3.140701e-24
0.174019     	-1.318319e-24
0.175351     	-3.942033e-24
0.176683     	4.097129e-24
0.178013     	-1.826260e-23
0.179343     	8.892192e-24
0.180671     	-2.162302e-23
0.181999     	-1.331244e-24
0.183325     	2.714186e-25
0.184651     	1.771976e-23
0.185974     	-4.355623e-24
0.187298     	5.880737e-24
0.188622     	-1.606540e-23
0.189943     	6.178005e-24
0.191264     	1.382943e-24
0.192584     	3.683539e-24
0.193903     	-2.830509e-24
0.19522      	-2.429843e-24
0.196537     	-6.462349e-24
0.197855     	-3.772719e-23
0.19917      	1.560011e-23
0.200485     	-3.489668e-25
0.2018       	-5.001858e-24
0.203112     	-7.948689e-24
0.204425     	-3.967882e-24
0.205738     	-9.254083e-24
0.207049     	-1.729324e-23
0.208359     	6.526972e-24
0.20967      	3.192400e-24
0.210981     	-2.300596e-24
0.212289     	-3.360421e-24
0.213598     	-6.578671e-24
0.214906     	1.110231e-23
0.216215     	-9.060213e-24
0.217523     	-1.960677e-23
0.218832     	-1.149006e-23
0.22014      	-2.055027e-24
0.221449     	-9.693523e-24
0.222757     	-1.549671e-23
0.224066     	-1.093429e-23
0.225374     	1.360971e-23
0.226683     	-1.464368e-23
0.227991     	-1.680211e-24
0.2293       	1.279545e-24
0.230606     	6.837165e-24
0.231912     	1.245941e-23
0.233216     	8.388128e-24
0.23452      	7.548023e-24
0.235822     	-1.204582e-23
