# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phiSub)
0.0119048    	8.273989e-08
0.0132083    	1.966856e-08
0.0145102    	6.700690e-10
0.0158137    	-5.971744e-09
0.017119     	-6.803560e-09
0.0184243    	-6.363653e-09
0.0197278    	-6.004625e-09
0.0210314    	-5.697273e-09
0.0223332    	-5.455568e-09
0.0236333    	-5.259731e-09
0.0249317    	-5.099711e-09
0.0262283    	-4.975915e-09
0.0275249    	-4.874632e-09
0.0288198    	-4.793480e-09
0.0301147    	-4.723864e-09
0.0314096    	-4.664780e-09
0.0327046    	-4.613137e-09
0.0339995    	-4.569233e-09
0.0352944    	-4.529523e-09
0.0365893    	-4.492241e-09
0.0378842    	-4.459583e-09
0.0391773    	-4.431343e-09
0.0404705    	-4.406367e-09
0.0417637    	-4.391936e-09
0.0430551    	-4.365299e-09
0.0443465    	-4.351875e-09
0.0456362    	-4.334698e-09
0.0469259    	-4.319515e-09
0.0482138    	-4.305918e-09
0.0495       	-4.290875e-09
0.0507845    	-4.278615e-09
0.0520689    	-4.268575e-09
0.0533517    	-4.258713e-09
0.0546327    	-4.249201e-09
0.0559136    	-4.240513e-09
0.0571929    	-4.232679e-09
0.0584721    	-4.225408e-09
0.0597497    	-4.218631e-09
0.0610272    	-4.212009e-09
0.0623029    	-4.206668e-09
0.0635787    	-4.200807e-09
0.0648545    	-4.195907e-09
0.0661285    	-4.191794e-09
0.0674026    	-4.187954e-09
0.0686749    	-4.184059e-09
0.0699472    	-4.180178e-09
0.0712177    	-4.176280e-09
0.0724866    	-4.172870e-09
0.0737537    	-4.169593e-09
0.0750208    	-4.167272e-09
0.0762861    	-4.164873e-09
0.0775498    	-4.163019e-09
0.0788117    	-4.160605e-09
0.0800718    	-4.157549e-09
0.0813303    	-4.153809e-09
0.082587     	-4.151553e-09
0.083842     	-4.149466e-09
0.0850953    	-4.147607e-09
0.0863469    	-4.145462e-09
0.0875968    	-4.143434e-09
0.0888449    	-4.141438e-09
0.0900914    	-4.139957e-09
0.0913361    	-4.139148e-09
0.0925792    	-4.138009e-09
0.0938205    	-4.137028e-09
0.0950602    	-4.135365e-09
0.0962981    	-4.134299e-09
0.097536     	-4.133591e-09
0.0987723    	-4.133064e-09
0.100007     	-4.132244e-09
0.10124      	-4.132246e-09
0.102471     	-4.132210e-09
0.1037       	-4.132072e-09
0.104927     	-4.132130e-09
0.106151     	-4.131934e-09
0.107374     	-4.131881e-09
0.108595     	-4.131935e-09
0.109814     	-4.132691e-09
0.11103      	-4.132227e-09
0.112245     	-4.133041e-09
0.113458     	-4.133098e-09
0.114669     	-4.133116e-09
0.115878     	-4.133007e-09
0.117086     	-4.133457e-09
0.118292     	-4.133294e-09
0.119497     	-4.135143e-09
0.1207       	-4.135060e-09
0.121901     	-4.136700e-09
0.1231       	-4.136261e-09
0.124298     	-4.136297e-09
0.125495     	-4.134952e-09
0.126689     	-4.135495e-09
0.127882     	-4.136412e-09
0.129074     	-4.138004e-09
0.130264     	-4.137996e-09
0.131452     	-4.139731e-09
0.132638     	-4.140747e-09
0.133823     	-4.142178e-09
0.135007     	-4.143777e-09
0.136187     	-4.140700e-09
0.137365     	-4.141645e-09
0.138542     	-4.142885e-09
0.139717     	-4.143754e-09
0.140891     	-4.144812e-09
0.142063     	-4.146414e-09
0.143233     	-4.147632e-09
0.144402     	-4.148765e-09
0.145571     	-4.149482e-09
0.146738     	-4.149595e-09
0.147904     	-4.151155e-09
0.149068     	-4.152496e-09
0.150232     	-4.153236e-09
0.151395     	-4.153667e-09
0.152555     	-4.154415e-09
0.153716     	-4.152744e-09
0.154876     	-4.151668e-09
0.156035     	-4.152034e-09
0.157193     	-4.151734e-09
0.15835      	-4.153338e-09
0.159506     	-4.153703e-09
0.160662     	-4.153400e-09
0.161817     	-4.153263e-09
0.162972     	-4.154400e-09
0.164124     	-4.154966e-09
0.165277     	-4.154707e-09
0.166429     	-4.155235e-09
0.16758      	-4.155552e-09
0.16873      	-4.155841e-09
0.169878     	-4.156237e-09
0.171026     	-4.155262e-09
0.172173     	-4.154774e-09
0.173319     	-4.156000e-09
0.174464     	-4.156255e-09
0.175609     	-4.156209e-09
0.176753     	-4.156341e-09
0.177896     	-4.155109e-09
0.179038     	-4.155975e-09
0.18018      	-4.156961e-09
0.18132      	-4.155540e-09
0.18246      	-4.155858e-09
0.1836       	-4.156186e-09
0.184739     	-4.157194e-09
0.185878     	-4.158512e-09
0.187016     	-4.158867e-09
0.188153     	-4.157814e-09
0.18929      	-4.161310e-09
0.190427     	-4.158366e-09
0.191564     	-4.162551e-09
0.192701     	-4.160626e-09
0.193837     	-4.160768e-09
0.194972     	-4.164577e-09
